bench_id,lat,lon,score,reviews,positive_count,negative_count
728,40.801045,-73.967417,0.0,0,0,0
731,40.800218,-73.94512,0.0,0,0,0
735,40.817797,-73.960055,0.0,0,0,0
737,40.758899,-73.965745,0.0,0,0,0
738,40.846088,-73.937905,0.0,0,0,0
740,40.79526387,-73.93390429,0.0,0,0,0
741,40.79444265,-73.96899626,2.0,5,3,2
748,40.78052198,-73.97671676,2.0,5,2,1
749,40.72740497,-74.00117554,0.0,0,0,0
751,40.775117,-73.959104,0.0,0,0,0
759,40.756207,-73.979041,0.0,1,0,0
763,40.7137791,-74.01071936,1.1111111111111112,9,2,1
765,40.86598129,-73.92641901,0.0,5,2,2
767,40.727338,-74.003463,0.0,0,0,0
775,40.7229309,-74.00665034,0.0,0,0,0
776,40.72413306,-74.00616786,0.0,0,0,0
785,40.76583,-73.961084,-2.0,5,3,4
797,40.76485891,-73.9587443,-2.0,5,3,4
798,40.79314618,-73.94592031,0.0,0,0,0
810,40.740467,-73.98291,6.0,5,3,0
817,40.80847472,-73.9469676,0.0,0,0,0
820,40.81172182,-73.95164038,0.0,0,0,0
822,40.839612,-73.937238,0.0,0,0,0
826,40.73910876,-73.98355018,5.0,10,6,1
838,40.740574,-73.983481,6.0,5,3,0
839,40.72502,-73.997251,-4.285714285714286,7,1,4
847,40.85130553,-73.94145789,0.0,0,0,0
848,40.74822976,-73.98424254,1.6666666666666665,6,1,0
853,40.721453,-74.000271,0.0,1,0,0
855,40.849039,-73.939136,0.0,0,0,0
857,40.825384,-73.947363,-2.0,5,2,3
858,40.77981663,-73.95609494,0.0,0,0,0
859,40.79523744,-73.94819239,0.0,0,0,0
862,40.79638333,-73.93499005,0.0,0,0,0
869,40.79972273,-73.96236598,0.0,0,0,0
873,40.79160208,-73.96830302,0.0,0,0,0
878,40.76349115,-73.95898024,-2.0,5,3,4
881,40.78089439,-73.94967517,0.0,0,0,0
882,40.814779,-73.955388,6.0,5,4,1
887,40.82322805,-73.94920709,0.0,0,0,0
890,40.72136816,-73.98663332,0.0,0,0,0
899,40.78790543,-73.97470851,0.0,0,0,0
904,40.810404,-73.947058,0.0,0,0,0
907,40.71775277,-74.000071,0.0,0,0,0
910,40.818239,-73.960598,0.0,0,0,0
921,40.84838,-73.931291,0.0,0,0,0
925,40.79048256,-73.96939657,0.0,0,0,0
931,40.759648,-73.995823,0.0,0,0,0
934,40.714546,-73.991058,0.0,3,0,0
937,40.749256,-73.979974,4.166666666666667,12,7,2
948,40.791435,-73.95217,0.9090909090909092,11,1,0
953,40.749112,-73.975481,0.0,0,0,0
959,40.763852,-73.996197,0.0,0,0,0
960,40.77649734,-73.95288614,0.0,5,0,0
968,40.83420134,-73.94091741,0.0,6,2,2
973,40.761261,-73.962492,0.0,0,0,0
980,40.72660106,-74.00575584,0.0,0,0,0
982,40.848706,-73.937139,0.0,0,0,0
986,40.73662019,-73.97764537,0.0,2,0,0
993,40.76913032,-73.95826047,0.0,6,0,0
998,40.789778,-73.939778,0.0,0,0,0
1003,40.758095,-73.962478,0.0,0,0,0
1007,40.766043,-73.994602,0.0,0,0,0
1008,40.76504721,-73.95951421,-2.0,5,3,4
1009,40.731086,-73.982172,0.0,0,0,0
1021,40.86897291,-73.91719783,0.0,0,0,0
1023,40.733807,-73.988666,6.0,5,3,0
1025,40.814287,-73.955453,6.0,5,4,1
1031,40.73795065,-73.97762225,0.0,2,0,0
1045,40.76642498,-73.95716411,0.0,1,0,0
1047,40.738473,-73.99588,2.6666666666666665,15,4,0
1052,40.846019,-73.938061,0.0,0,0,0
1057,40.858424,-73.93162,0.0,0,0,0
1062,40.734011,-73.98915,6.0,5,3,0
1063,40.77900379,-73.98232928,0.0,0,0,0
1064,40.7445294,-73.97502809,0.0,2,0,0
1066,40.817866,-73.960589,0.0,0,0,0
1085,40.7804751,-73.97675218,0.0,0,0,0
1090,40.79306904,-73.96776114,0.0,0,0,0
1092,40.79184864,-73.96807359,0.0,0,0,0
1096,40.80068007,-73.9660254,0.0,0,0,0
1097,40.7656867,-73.95446337,0.0,6,0,0
1098,40.714581,-73.990115,2.5,8,3,1
1100,40.80658708,-73.94984398,0.0,0,0,0
1103,40.747197,-73.971184,0.0,0,0,0
1113,40.86082125,-73.9305195,0.0,0,0,0
1117,40.72731034,-74.00564716,0.0,0,0,0
1121,40.74202043,-73.97463671,0.0,1,0,0
1129,40.787949,-73.970959,0.0,0,0,0
1135,40.77853626,-73.95352631,0.0,0,0,0
1139,40.7274427,-74.0079508,0.0,0,0,0
1141,40.714048,-73.980535,0.0,0,0,0
1150,40.785303,-73.943048,0.0,1,0,0
1155,40.77453492,-73.95694558,-4.0,5,1,3
1164,40.70439375,-74.00915255,0.0,0,0,0
1174,40.77374047,-73.95753305,-4.0,5,1,3
1182,40.799225,-73.942767,0.0,0,0,0
1190,40.79367063,-73.94299072,-4.0,5,0,2
1199,40.78763536,-73.94477976,0.0,0,0,0
1200,40.794639,-73.969468,0.0,0,0,0
1202,40.742996,-73.977016,0.0,0,0,0
1203,40.84644248,-73.93507507,0.0,5,3,3
1206,40.84595347,-73.93633518,0.0,0,0,0
1207,40.79135878,-73.9444385,0.0,0,0,0
1215,40.740439,-73.982902,6.0,5,3,0
1216,40.857632,-73.932341,0.0,0,0,0
1226,40.867652,-73.921623,0.0,0,0,0
1228,40.77302449,-73.9892555,0.0,0,0,0
1229,40.785852,-73.951207,-2.0,5,0,1
1234,40.7818691,-73.94896995,0.0,0,0,0
1235,40.805644,-73.947229,0.0,0,0,0
1236,40.73578396,-73.99365967,2.1052631578947367,19,5,1
1257,40.79526388,-73.93313947,0.0,0,0,0
1261,40.84936079,-73.9340506,0.0,5,3,3
1262,40.818238,-73.96056,0.0,0,0,0
